file_id,type,number_affix,date,area,param,step,request_time
pf_2020-07-01_nontem.grib,pf,,2020-07-01/to/2020-07-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2020-08-01_tem.grib,cf,#,2020-08-01/to/2020-08-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2020-08-01_nontem.grib,pf,,2020-08-01/to/2020-08-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2020-08-01_tem.grib,cf,#,2020-08-01/to/2020-08-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2020-08-01_nontem.grib,pf,,2020-08-01/to/2020-08-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2020-09-01_tem.grib,cf,#,2020-09-01/to/2020-09-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2020-09-01_nontem.grib,pf,,2020-09-01/to/2020-09-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2020-09-01_tem.grib,cf,#,2020-09-01/to/2020-09-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2020-09-01_nontem.grib,pf,,2020-09-01/to/2020-09-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2020-10-01_tem.grib,cf,#,2020-10-01/to/2020-10-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2020-10-01_nontem.grib,pf,,2020-10-01/to/2020-10-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2020-10-01_tem.grib,cf,#,2020-10-01/to/2020-10-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2020-10-01_nontem.grib,pf,,2020-10-01/to/2020-10-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2020-11-01_tem.grib,cf,#,2020-11-01/to/2020-11-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2020-11-01_nontem.grib,pf,,2020-11-01/to/2020-11-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2020-11-01_tem.grib,cf,#,2020-11-01/to/2020-11-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2020-11-01_nontem.grib,pf,,2020-11-01/to/2020-11-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2020-12-01_tem.grib,cf,#,2020-12-01/to/2020-12-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
